Id,EffectiveDate,EntityCode,CounterpartyId,SecurityId,SecurityType,SecuritySubType,CountryOfExposure,Agreement_Type,MarketValueUSD,Swap_GL,Swap_Gain,Swap_Loss,Swap_Collat,Net_Swap_Gain,Net_Swap_Loss,Fwd_GL,Fwd_Gain,Fwd_Loss,Fut_Collat,Fut_Margin,Repo_GL,Repo_Collat,Net_Exposure,Pos_Neg_Ind,NetSwapOptUnreal,NetFwdOptUnreal,AllCollateral,NetSwapOptExposure,GrossOTCPosExposure,GrossOTCNegExposure,FuturesMargin,FuturesCollateral,FuturesExposure,RepoExposure,AnyExposure,SwapFwdGain,SwapFwdLoss,SwapFwdGL,ViewAnyGain,ViewAnyLoss,NotionalMvUSD,LookThruExposure,CashMVUSDInvested,CashMVUSDSubCustAcct,Loan_Pos,Loan_Neg,Loan_Net,Option_Collat,InvestmentGroup,Repo_Gain,Repo_Loss,NettingAgreementInPlace,NettingAgreementApplied,CCPId,CCMarketValueUSD,cleared_otc_collat,IsClearable
6250885,1/28/2005,9X2IA9H9X2I,3,Repo_Collat_Native,Repo_Collat_Native,Repo_Collat_Native,ES,Repo,,,,,,0,0,,,,,,,169565.28,-169565.28,P,0,0,169565.28,0,0,0,0,0,0,-169565.28,-169565.28,0,0,0,0,0,,,,,,,,,XIM       ,,,,0,-1,,,
6251828,1/28/2005,9X2IERS,3,2630,Cash BBH,,ES,CASH,1757457.09,,,,,0,0,,,,,,,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1757457.09,,,,,,IA        ,,,,0,-1,,,
6251821,1/28/2005,9X2IERS,22,2630,Cash BBH,,ES,CASH,188390.528,,,,,0,0,,,,,,,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,188390.528,,,,,,IA        ,,,,0,-1,,,
6251822,1/28/2005,9X2IERS,22,2630,Cash BBH,,ES,CASH,113.828973,,,,,0,0,,,,,,,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,113.828973,,,,,,IA        ,,,,0,-1,,,
6251823,1/28/2005,9X2IERS,22,2630,Cash BBH,,ES,CASH,7.036603576,,,,,0,0,,,,,,,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7.036603576,,,,,,IA        ,,,,0,-1,,,
6251824,1/28/2005,9X2IERS,22,2630,Cash BBH,,ES,CASH,12.81865847,,,,,0,0,,,,,,,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12.81865847,,,,,,IA        ,,,,0,-1,,,
6251825,1/28/2005,9X2IERS,22,2630,Cash BBH,,ES,CASH,4.24489,,,,,0,0,,,,,,,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.24489,,,,,,IA        ,,,,0,-1,,,
6251826,1/28/2005,9X2IERS,22,2635,Cash BBH,,ES,CASH,0.172690427,,,,,0,0,,,,,,,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.172690427,,,,,,IA        ,,,,0,-1,,,
6251827,1/28/2005,9X2IERS,22,2635,Cash BBH,,ES,CASH,0.465501598,,,,,0,0,,,,,,,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.465501598,,,,,,IA        ,,,,0,-1,,,
6251819,1/28/2005,9X2IERS,45,2668,MUTUAL FUND,,ES,CASH,15809999.68,,,,,0,0,,,,,,,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15809999.68,,,,,,IA        ,,,,0,-1,,,
